Variable Name,Short Description,Long Description (Summarized)
DB010,YEAR OF THE SURVEY,"The year in which the survey-data collection, or most of the collection, is carried out."
DB020,COUNTRY OF RESIDENCE,"The country of residence is the country in which the usual residence of the person/household is located. The list of countries is defined according to the Eurostat Standard Code list (SCL) GEO which is largely based on the International Organization for Standardization (ISO) 3166 country codes (3166-1 alpha-2). The SCL GEO is available here: https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_NOM_DTL&StrNom=CL_GE O&StrLanguageCode=EN&IntPcKey=&StrLayoutCode=HIERARCHIC. Country code, year and IDs are used as key variables to merge different files."
DB030,HOUSEHOLD ID,"Household ID (maximum nine digits) = Household number (maximum seven digits) + split number (two digits) Every household will receive a household number. This number is the base upon which to construct the household ID and the personal ID. It should be a sequential number and should not contain other information. It must NOT contain any information that conflicts with confidentiality rules. This number must be unique for all the years of the survey. The household identification number (ID) is composed of the household number and the split number. The household number is a unique number assigned to each household in wave 1. The split number for the first wave must always take the value ‘00’. When a household stays in the sample, it keeps the household number and split number from one wave to the next. In the case of a split-off, the initial household will keep the household number and split number from one wave to the next. The other households, i.e., the split-off households, will keep the same household number, but will be assigned the next available unique split number in sequence. In cases when there is more than one split-off, the split number is formed by adding 1 to the highest used split number (for all the years of the survey). When there is a fusion of two sample households and the new household is located at an address where one of the households was previously interviewed the new household should keep the household number and split number of the household at that address in the previous wave. When the new household is located at a new address, the household number and split number of the household of the sample person who now has the lowest person number in ‘the household register’ should be used."
DB040,REGION OF RESIDENCE,"The region of residence is the region within the country of residence in which the usual residence of the household is located at the date of interview. From 2021 onwards Under Regulation (EC) No 1059/2003 of the European Parliament and of the Council all Member States’ statistics that are submitted to the Commission (Eurostat) and that are to be broken down by territorial units should use the NUTS classification. Consequently, in order to establish comparable regional statistics, data on the territorial units should be provided in accordance with the NUTS classification. NUTS (2-digits) For Member States of the EU, regions are defined on the basis of the Nomenclature of territorial units for statistics (NUTS) as described in Article 3 of Regulation (EC) No 1059/2003 of the European Parliament and the Council on the establishment of a common classification of territorial units for statistics (NUTS) (as amended)22 and Annex I. For EFTA and Candidate countries, region refers to the classification of Statistical Regions23. Information about the NUTS is available here: http://ec.europa.eu/eurostat/web/nuts/overview. 22 http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32003R1059 23 http://ec.europa.eu/eurostat/web/nuts/statistical-regions-outside-eu"
DB050,STRATUM,"DB050 reports on the primary stratum corresponding to each observation unit (individual or household) in case the target population (or a part thereof) is stratified at the first stage of the sample design, providing identification codes for the different strata. The information on the variable should be filled in for all waves, and it should always refer to the situation at the time the concerned unit (individual or household) is selected; it consequently does not refer to the strata used for post-stratification. DB050 collects information about primary strata, the strata used in selecting the sample. The variable label is changed from ‘Primary strata’ [Primary strata as used in the selection of the sample]’ used before, to ‘Stratum’ used from 2021 onwards, harmonised with social standardised variables. Stratifying a population means dividing it into non-overlapping subpopulations called strata. Independent samples are then selected within each stratum. The variable contains sampling information that is needed to calculate measures of spread (e.g., variance and standard deviation) and to observe changes over time. The category 'stratum identifier' provides the identification code of the stratum each observation unit (individual or household) belongs to. Stratum identification codes are to be used in case the target population has been stratified, or in case self-representing primary sampling units (PSUs) have been considered24. The category 'not applicable' is to be used in case the target population has not been stratified at the first stage of the sampling process (e.g., when the sample has been drawn by simple random sampling or by cluster random sampling), and self-representing PSUs have not been considered. Information on the variable should be filled in for all waves (and/or panels), and it should always refer to the situation at the time the concerned unit (individual or household) is selected. In case the target population is stratified at the first stage of the sampling design (or in case of comparable sample design), all primary strata receive a unique identification code which remains the same for the entire period in which the observation units (individual or household) that receive this identification code remain in 24 Self-representing PSUs are PSUs selected with a probability of 1, which must be considered to be a stratum rather than a PSU."
DB060,PRIMARY SAMPLING UNITS [PSU],"DB060 measures PSUs as used in selecting the sample and it is part of a standardised list of variables. If direct-element sampling is either impossible (lack of a sampling frame) or too expensive to implement (the population is widely distributed geographically), multi-stage selections can be done. Firstly, the population is divided into disjoint sub-populations, called primary sampling units (PSUs). A sample of PSUs is then selected (first–stage sampling). Secondly, each sampled PSU is itself divided into disjoint sub-populations, called secondary sampling units (SSUs). SSUs are then independently drawn from each PSU (second- stage sampling) and so on. The variable reports on the PSU corresponding to each observation unit (individual or household) in case the target population is divided into clusters, providing identification codes for the clusters or PSUs. The information recorded always refers to the situation at the time the concerned unit is selected (individual or household). A population is divided into clusters (i.e., disjoint sub-populations) in case direct-element sampling is either impossible (due to lack of a sampling frame) or too expensive to implement (the population is widely distributed geographically). A sample of clusters (PSUs) is then selected at the first stage of the sampling process (or an alternative multi-stage selection process). The variable contains sampling information that is needed to calculate measures of spread (e.g. variance or standard deviation) and to observe changes over time. The category 'primary sampling unit identifier' provides the identification code of the selected PSU each observation unit (individual or household) belongs to, in case the target population has been divided into clusters in the first stage of sampling. The category 'not applicable' is to be used when the target population has not been clustered at the first stage of the sampling process, e.g., when the sample has been drawn by simple random sampling or by stratified random sampling. Information on the variable should be filled for all waves (and/or panels), and it should always refer to the situation at the time the concerned unit (individual or household) is selected. In case the target population is clustered at the first stage of the sampling design, the selected clusters (PSUs) receive a unique identification code which remains the same for the entire period in which the observation"
DB062,SECONDARY SAMPLING UNITS [SSU],"If direct-element sampling is either impossible (lack of sampling frame) or too expensive to implement (the population is widely distributed geographically), multi-stage selections can be done. Firstly, the population is divided into disjoint sub-populations, called primary sampling units (PSUs). A sample of PSUs is then selected (first–stage sampling). Secondly, each sampled PSU is divided itself into disjoint sub-populations, called secondary sampling units (SSUs). SSUs are then independently drawn from each PSU (second- stage sampling) and so on, see DB060. DB062 provides identification codes for the selected PSUs (SSUs) as used in selecting the sample, secondary sampling units. In the case that the same SSU is selected several times (‘multiple hits’), the SSU receives a unique value for every hit. If the first stage of the sample design consists of a selection of households, households receive a unique code for variable DB060 that remains the same throughout EU-SILC’s entire duration. In the latter case split- off households keep their original value at the moment they are selected for variable DB060. In case there is at least a third stage of selection, additional variables DB06i must be transmitted as identification numbers for the units sampled at stage ‘i'. In the case of self-representing PSUs (for a definition see variable DB050), SSUs should be treated as if they were PSUs and receive a unique code for variable DB060. If households are selected at the second stage, they receive a unique value for variable DB060 that remains the same throughout EU-SILC’s entire duration. In the latter case split-off households keep their original value at the moment of selection for variable DB060. The identification of the self-representing units themselves is implemented in variable DB050."
DB070,ORDER OF SELECTION OF PSU,"If primary sampling units (or households in case of direct-element sampling) are selected systematically, DB070 contains the rank of selection of those units, order of selection of PSU, and order of selection of PSU as used in the selection of the sample. If PSUs rotate in and out of the sample, this rank should correspond to the rank on the sampling frame, such that PSUs newly selected in the sample could be grouped together on the basis of the order of all PSUs on the sampling frame. The value for DB070 of every selected PSU remains the same for the entire duration of EU-SILC. This information is important for variance estimation purposes because a systematic drawing from a judiciously ordered sampling frame may substantially reduce sampling errors. If systematic selections have been performed at other sampling stages, additional variables DB070 (i-1), that is the order of the selection of the units of stage ‘i' (i>1), must be transmitted too. In order to facilitate the computation of the standard errors for i) the common EU indicators, ii) the equivalised disposable income, iii)  the unadjusted gender pay gap and iv)  a list of income components, countries should28 fill in this (these) variable(s) (in the case of systematic selection) for all panels and waves in the file, and not 28 Agreement during the Living Conditions Working Group meeting in June 2009"
DB075,ROTATION GROUP,"This variable must be filled only for the countries using a rotational design. Rotational design Refers to any sample selection which is based on a fixed number of sub-samples, called replications, each one representative of the target population at the time of their selection. Each year, one sub-sample rotates out and a new one is drawn as a substitute. In the case of a rotational design based on four replications with a rotation of one replication per year, one of the replications must be dropped immediately after the first year, the second must be retained for 2 years, the third for 3 years, and the fourth for 4 years. From the second year onwards, at the start of each new year one replication must be introduced and retained for 4 years. Rotation group Each replication is called a rotational group and the information on the group to which the household belongs is especially useful for controlling the implementation of the sample over time. Regarding the numbering of the rotation groups over time, it is recommended that each rotation group keeps the same number throughout the period of the survey (see figure hereafter): PATTERN FOR ENUMERATION OF ROTATIONAL GROUPS new rotational group old rotational group Year of survey t 1 2 3 4 t+1 2 3 4 1 t+2 3 4 1 2 t+3 4 1 2 3 t+4 1 2 3 4 t+5 t+6 In case of 6 years rotation used"
DB076,INTERVIEW WAVE,"The wave corresponds to the number of years the respective household stays in the survey. If the household is in the data sample for the first time, the value 1 should be selected. If the household is in the sample for the second time, the value 2 should be selected, value 3 for the third time, value 4 for the fourth time, etc. The same approach should be used when using a longer panel. A split-off household keeps the same wave as the initial household."
