Variable	Short_description	Long_description
DB010	 Year of the survey	"It represents the year in which the survey-data collection, or most of the collection, is carried out."
DB020	 Country of residence 	The variable identifies the country in which the usual residence of the person/household is located.
DB030	 Household ID 	"Every household receives a household number which serves as the base to construct the Household ID and Personal ID. This number must be unique for all years of the survey. The Household ID is a unique identification number for each household. Country code, year, and IDs are used as key variables to merge different files."
DB040	 Region of residence 	"The variable indicates the region within the country of residence in which the usual residence of the household is located at the date of interview. From 2021 onwards, it classifies regions into three types of area based on population density: 'Cities', 'Towns and suburbs', and 'Rural areas'. This classification uses geographical contiguity and minimum population threshold applied to 1 km2 grid cells, largely based on the NUTS classification."
DB050	 Stratum 	This variable reports on the primary stratum corresponding to each observation unit (individual or household) in cases where the target population is stratified at the first stage of sample design. It provides identification codes for the different strata. The information collected is sampling information needed to calculate measures of spread (like variance and standard deviation) and to observe changes over time. It specifically collects information about the primary strata used in selecting the sample.
DB060	 Primary sampling units [PSU] 	"This variable measures the Primary Sampling Units (PSUs) used in selecting the sample. It reports on the PSU corresponding to each observation unit (individual or household) when the target population is divided into clusters. It provides identification codes for these clusters or PSUs. The information collected is sampling data needed to calculate measures of spread (e.g., variance and standard deviation) and to observe changes over time. Multi-stage sampling involves dividing the population into PSUs at the first stage, which is done when direct-element sampling is impossible or too expensive."
DB062	 Secondary sampling units [SSU] 	"The variable DB062 provides identification codes for selected Secondary Sampling Units (SSUs) when a multi-stage sampling design is used. Multi-stage sampling is employed when direct element sampling is not feasible or is too costly. In this method, Primary Sampling Units (PSUs) are selected first, followed by the selection of SSUs within the chosen PSUs."
DB070	 Order of selection of PSU 	DB070 records the rank or order of selection for primary sampling units (PSUs) if they are selected systematically. It also applies to households in the case of direct-element sampling. This variable is also referred to as the order of selection of PSU as used in the selection of the sample.
DB075	 Rotation group 	This variable identifies the rotational group to which a household belongs. It is explicitly stated that this variable must be filled only for countries using a rotational design.
DB076	 Interview wave 	This variable indicates the number of years a household has been included in the survey. It corresponds to the wave number.
DB080	 Household design weight 	"The primary goal of the design weights (including DB080) is to allow for inference on the household population from the household sample. They need to be defined for all selected units, not just those who respond."
DB090	 Household cross-sectional weight 	These are the final estimation weights for households. Their objective is to allow for inference on the population of private households from the household sample at national and European levels. They are used to weigh household data and indicators produced at the household level.
DB095	 Household longitudinal weight 	These are the final estimation weights for households used for longitudinal analysis.
DB100	 Degree of urbanisation 	This variable reports on the degree of urbanisation in the area where the usual residence of the person or the household is located.
DB110	 Household status	This variable records the status of the household in relation to its participation in the survey from one wave to the next.
DB120	 Contact at address 	This variable records the contact status at the address for certain types of households.
DB130	 Household questionnaire result 	This variable records the result or outcome of the household questionnaire for contacted households.
DB135	 Household interview acceptance 	The objective of this variable is to record whether the household interview is accepted for inclusion in the database.
HB010	 Year of the survey	"Year in which the survey data collection, or most of the collection, is carried out. This date is essential for identifying the wave of data collection and aligning records from multiple datasets."
HB020	 Country of residence 	"The country where the household usually resides, based on Eurostat's SCL GEO codes. No question is needed; the data correspond to the reporting country. Based on Eurostat's standardized country list. Used as a key identifier when merging country-level files and ensuring harmonization across cross-country datasets."
HB030	 Household ID 	"Unique sequential ID for the household, combining household number and split number (e.g., 1234567 + 00). Used for tracking and merging datasets. Maintains continuity over waves, supports tracking splits or fusions of households, and is essential for linking individuals to households."
HB040	 Day of household interview 	Calendar day (1 to 31) on which the household interview was conducted.
HB050	 Month of household interview 	Month (1 to 12) on which the household interview was conducted.
HB060	 Year of household interview 	Year in which the household interview took place.
HB070	 Person responding to the household questionnaire 	Indicates who answered the household questionnaire (typically a household member or knowledgeable respondent).
HB100	 Number of minutes to complete the household questionnaire 	"The time, in minutes, taken to complete the household interview."
HB110	 Household type 	"Categorization of household based on relationship structure: e.g. couple with children, lone parent, single person."
HB120	 Household size 	"Total number of current household members, based on membership status in the household grid."
HB130	 Interview mode used (household) 	"Primary interview method used to collect household data (e.g., PAPI, CAPI, CATI, CAWI, or other). Mixed-mode is coded by predominant method."
HH010	 Dwelling type 	"Type of main dwelling: detached house, semi-detached/terraced, small or large apartment building, or other."
HH021	 Tenure status 	"Ownership or rental arrangement for the dwelling (e.g. owned with mortgage, rented, rent-free). Categories include owned outright, owned with mortgage, rented at market or reduced price, or rent-free. Ownership implies legal title deed possession."
HH030	 Number of rooms available to the household 	"Count of rooms used by the household, excluding kitchens, bathrooms, and halls."
HH050	 Ability to keep home adequately warm 	Whether the household can afford to keep the home warm during cold months.
HH060	 Current rent related to the occupied dwelling 	"Monthly rent paid for the main residence, not including other housing costs."
HH070	 Total housing cost 	"All monthly housing costs including rent, maintenance, taxes, and utilities. Includes all mandatory housing-related costs (e.g., rent, utilities, insurance, taxes). For both tenants and owners, benefits are not deducted from reported cost."
HH071	 Mortgage principal repayment 	Monthly amount of principal repayment on mortgage for the household's main residence.
HS011	 Arrears on mortgage or rental payments 	Indicates whether the household was unable to pay rent or mortgage on time in the past 12 months due to financial difficulties.
HS021	 Arrears on utility bills 	"Indicates whether the household was unable to pay utility bills (heating, electricity, gas, water, etc.) on time in the past 12 months."
HS022	 Reduced utility costs 	Shows if utility costs were reduced or covered by public programs for the household.
HS031	 Arrears on hire purchase instalments or other loan payments 	Indicates whether the household missed payments on hire purchases or non-housing loans due to financial difficulties.
HS040	 Capacity to afford paying for one week annual holiday away from home 	Whether the household can afford to go on a one-week annual holiday away from home.
HS050	" Capacity to afford a meal with meat, chicken, fish or vegetarian equivalent every second day "	"Whether the household can afford a meal with meat, fish or equivalent vegetarian every second day."
HS060	 Capacity to face unexpected financial expenses 	"Whether the household could cover unexpected expenses using its own resources. 'Unexpected expenses' include surgery, funerals, car repairs, and urgent household maintenance. Assessed based on ability to pay without external help or loans."
HS090	 Do you have a computer 	Indicates whether the household has access to a computer or cannot afford one.
HS110	 Do you have a car 	Indicates whether the household has access to a car or cannot afford one.
HS120	 Ability to make ends meet 	"Self-reported ability of the household to make ends meet using current income. Answers reflect subjective difficulty levels: from 'great difficulty' to 'very easily', based on household's total net income and necessary expenditures."
HS150	 Financial burden of the repayment of debts from hire purchases or loans 	How burdensome the repayment of non-housing debts (e.g. consumer loans) is for the household.
HD080	 Replacing worn-out furniture 	Indicates whether the household can afford to replace worn-out furniture.
HI010	 Change in the household income compared to previous year 	"Self-reported change in household income compared to the previous year (increase, same, or decrease)."
HI020	 Reason for increase in income 	"Main reason for income increase, e.g. new job, increased hours, social benefits."
HI030	 Reason for decrease in income 	"Main reason for income decrease, e.g. job loss, retirement, reduced benefits."
HI040	 Expectation of the household income in the next 12 months 	"Whether household expects income to increase, remain the same, or decrease in the next year."
HY010	 Total household gross income 	"Gross income received by all household members, before deductions."
HY020	 Total disposable household income 	"Net income received by all household members, after taxes and social contributions. This is a key indicator of net economic well-being, calculated as gross income minus taxes and social contributions, and often used for poverty and inequality analysis."
HY022	 Total disposable household income before social transfers other than old-age and survivor’s benefits 	Disposable income before receiving social transfers other than pensions.
HY023	 Total disposable household income before social transfers including old-age and survivor’s benefits 	Disposable income before receiving any social transfers.
HY040G	 Gross income from rental of a property or land 	Gross income received from letting property or land.
HY040N	 Net income from rental of a property or land 	Net income received from letting property or land.
HY050G	 Gross family/children-related allowances 	Gross family allowances received.
HY050N	 Net family/children-related allowances 	Net family allowances received.
HY051G	 Family/children-related allowances [contributory and means-tested] 	Contributory and means-tested child or family allowances.
HY052G	 Family/children-related allowances [contributory and non means-tested] 	Contributory and non-means-tested child or family allowances.
HY053G	 Family/children-related allowances [non-contributory and means-tested] 	Non-contributory and means-tested family allowances.
HY054G	 Family/children-related allowance [non-contributory and non means-tested] 	Non-contributory and non-means-tested family allowances.
HY060G	 Gross social exclusion not elsewhere classified	Gross income from social exclusion payments not elsewhere classified.
HY060N	 Net social exclusion not elsewhere classified	Net income from social exclusion payments not elsewhere classified.
HY061G	 Social exclusion not elsewhere classified [contributory and means-tested] 	Contributory and means-tested social exclusion income.
HY062G	 Social exclusion not elsewhere classified [contributory and non means-tested] 	Contributory and non-means-tested social exclusion income.
HY063G	 Social exclusion not elsewhere classified [non-contributory and means-tested] 	Non-contributory and means-tested social exclusion income.
HY064G	 Social exclusion not elsewhere classified [non-contributory and non means-tested]	Non-contributory and non-means-tested social exclusion income.
HY070G	 Gross housing allowances 	Gross housing benefits received.
HY070N	 Net housing allowances 	Net housing benefits received.
HY071G	 Housing allowances [contributory and means-tested] 	Contributory and means-tested housing allowances.
HY072G	 Housing allowances [contributory and non-means-tested] 	Contributory and non-means-tested housing allowances.
HY073G	 Housing allowances [non-contributory and means-tested] 	Non-contributory and means-tested housing allowances.
HY074G	 Housing allowances [non-contributory and non means-tested] 	Non-contributory and non-means-tested housing allowances.
HY080G	 Gross regular inter-household cash transfer received 	Regular transfers received from other households.
HY080N	 Net regular inter-household cash transfer received 	Regular transfers received from other households.
HY081G	 Gross alimonies received [compulsory + voluntary] 	"Alimony payments received, both compulsory and voluntary."
HY081N	 Net alimonies received [compulsory + voluntary] 	"Alimony payments received, both compulsory and voluntary."
HY090G	" Gross interest, dividends, profit from capital investments in unincorporated business "	"Income from dividends, interest, and unincorporated business capital."
HY090N	" Net interest, dividends, profit from capital investments in unincorporated business "	"Income from dividends, interest, and unincorporated business capital."
HY100G	 Gross interest repayments on mortgage 	Interest paid on mortgage loans for the main dwelling.
HY100N	 Net interest repayments on mortgage 	Interest paid on mortgage loans for the main dwelling.
HY110G	 Gross income received by people aged under 16 	Income received by household members aged under 16.
HY110N	 Net income received by people aged under 16 	Income received by household members aged under 16.
HY120G	 Gross regular taxes on wealth 	Taxes paid regularly on personal or household wealth.
HY120N	 Net regular taxes on wealth 	Taxes paid regularly on personal or household wealth.
HY121G	 Gross taxes paid on ownership of household main dwelling 	Taxes paid on ownership of the household's main residence.
HY121N	 Net taxes paid on ownership of household main dwelling 	Taxes paid on ownership of the household's main residence.
HY130G	 Gross regular interhousehold cash transfer paid 	Regular transfers paid to other households.
HY130N	 Net regular interhousehold cash transfer paid 	Regular transfers paid to other households.
HY131G	 Gross alimonies paid [compulsory + voluntary] 	"Alimony payments made, both compulsory and voluntary."
HY131N	 Net alimonies paid [compulsory + voluntary] 	"Alimony payments made, both compulsory and voluntary."
HY140G	 Gross tax on income and social contributions 	Total income taxes and mandatory contributions.
HY140N	 Net tax on income and social contributions 	Total income taxes and mandatory contributions.
HY145N	 Repayments/receipts for tax adjustment 	Repayments or receipts for annual tax adjustment.
HY170G	 Gross value of goods produced for own consumption 	"Monetary value of goods produced and consumed by the household itself. Includes the estimated value of food grown and consumed, homemade goods, or other self-produced items used by the household. Important for rural household studies."
HY170N	 Net value of goods produced for own consumption 	"Monetary value of goods produced and consumed by the household itself. Includes the estimated value of food grown and consumed, homemade goods, or other self-produced items used by the household. Important for rural household studies."
RB010	 Year of the survey	Year in which most of the data collection took place; identifies the wave and aligns cross-sectional records.
RB020	 Country of residence 	"Country where the household/person resides, coded using Eurostat's SCL GEO codes, aligned with ISO 3166 standards."
RB030	 Personal ID 	Unique identifier created by combining Household ID and personal number; used for tracking individuals across waves.
RB032	 Sequential number of the persons in the household 	Sequential number assigned to each household member; used to facilitate transmission of household structure.
RB040	 Current household identification (ID) 	"Identifier for the household, composed of household number and a split number (e.g., 1234567 + 00); tracks household continuity and splits."
RB050	 Personal cross-sectional weight 	Weight representing the individual's representativity for the target population at a single time point.
RB060	 Personal base weight 	Initial weight assigned before calibration; reflects basic sample design and adjustment.
RB062	 Longitudinal weight [two-year duration] 	Weight for persons observed in two consecutive waves; required for panel analysis.
RB063	 Longitudinal weight [three-year duration] 	Weight for those in the panel for three years; used for mid-term longitudinal analyses.
RB064	 Longitudinal weight [four-year duration] 	Panel weight for respondents continuously present in four waves.
RB065	 Longitudinal weight [five-year duration] 	Introduced from 2021; used in countries applying 5-year panels.
RB066	 Longitudinal weight [six-year duration] 	Used in countries with a longer panel duration; captures individuals followed over six years.
RB080	 Year of birth 	Year of birth used with birthday status to derive age; collected or derived from registries.
RB081	 Age in completed years (at the end of income reference period) 	Age in completed years at the end of income reference period; crucial for income-related variables.
RB082	 Age in completed years at the time of the interview 	Age in completed years at the time of interview; differs from RB081 depending on birthday timing.
RB083	 Passing of birthday at the time of the interview 	Indicates whether respondent's birthday has passed by the time of interview.
RB090	 Sex 	"Biological sex of the respondent; can be self-reported, registry-based or imputed."
RB100	 Sample person or co-resident 	Distinguishes between selected respondents and other household members.
RB110	 Membership status 	"Tracks household membership changes: moved in/out, birth, death."
